Station5_mp_85,Station5_mp_94,Station5_mp_95,Station5_mp_90,Station5_mp_91,Station5_mp_97,Station5_mp_93,Station5_mp_92
221.0213753021119,0.0007083852459568492,5029.369647312986,11002.78,5966.674,0.004839844,380.047,0.005275391
236.9025483002313,0.0007275762128595829,5253.3893401357545,11148.26,5874.386,0.004796875,393.5057,0.005294922
233.86029477368956,0.0007620749164340048,5287.007463200324,11132.88,5855.8,0.004841797,412.0914,0.005328125
240.17545000721321,0.0007933061646653385,5496.08729428861,11260.41,5756.462,0.004828125,390.3012,0.005351563
224.1294638494827,0.0006297345834773395,5234.638179547514,11254.01,6019.867,0.004841797,381.3288,0.00534961
222.52592739645414,0.0006268953891059248,5502.361728855592,11181.58,5667.378,0.004927734,383.2514,0.005449219
207.75112461002865,0.000705372164787986,5280.328553623254,11193.76,5910.275,0.004841797,340.9528,0.005330078
217.1440901800858,0.0006609809741986235,4883.949603981745,11096.35,6185.217,0.004839844,380.047,0.005335938
252.0487611081918,0.0005481989539654244,4625.671839081517,11075.84,6424.268,0.004902344,382.6105,0.005396485
225.84432382878458,0.0005147769721900965,4819.14059950522,11113.01,6268.532,0.004935547,383.8923,0.005423828
223.62950780483294,0.0006320836172067273,5851.956010041947,11230.93,5387.31,0.004898438,384.5332,0.005408203
220.07104511372816,0.0006165640736679261,5527.751247810186,11275.15,5766.076,0.004851563,368.511,0.005333985
247.27246918719072,0.0005293354644393101,5015.133757512741,11135.44,6160.222,0.004929688,401.1963,0.005419922
251.0810727250512,0.0005392429967385923,5485.891544460036,11203.37,5671.865,0.004927734,396.0692,0.00541211
249.5830551302193,0.0004461867669920914,5277.383632179304,11185.43,5925.657,0.004960938,372.9972,0.005464844
240.55667882444914,0.0005506374575007341,5181.361957166674,11092.5,5912.198,0.004931641,382.6105,0.005421875
214.0017966548652,0.0005992555986063556,5029.68310404359,10946.38,5975.005,0.00484375,373.6381,0.005367188
239.9964804168789,0.0005315145119319033,5036.461279951094,11124.55,6119.205,0.004896485,384.5332,0.005417969
222.8044000552122,0.0006312584708693524,6254.071125658335,11585.99,5204.657,0.004867188,378.1243,0.005416016
242.45054112362988,0.0006105203615530959,5508.388807255181,11215.55,5744.926,0.00494336,367.8701,0.005453125
254.89196312114328,0.0005003793961256334,5644.0742212068235,11272.59,5641.103,0.004931641,390.3012,0.005441406
233.77435200516726,0.0005641955808768858,5084.325382441787,11166.2,6087.801,0.004867188,376.8426,0.005386719
254.0324377655689,0.0006497916861485482,5206.273089055915,11027.77,5815.424,0.004857422,396.7101,0.00534961
223.41384435336562,0.0006436010998775975,5198.518533156063,11051.48,5926.938,0.004857422,384.5332,0.005375
231.82616864097454,0.0009087016917576815,5468.588570424351,11197.61,5733.39,0.004695313,384.5332,0.005175781
229.37859556022724,0.0006277783643612817,5413.5724249028935,11302.71,5853.236,0.004914063,356.3341,0.00540625
