Station5_mp_87,Station5_mp_82,Station5_mp_89,Station5_mp_83,Station5_mp_84,Station5_mp_86
5050.36074368197,11350.78,0.00471875,6310.19,0.005185547,0.001728128196566373
5773.167493662686,11502.67,0.004900391,5726.34,0.005451172,0.0005565759306681057
5434.831461165539,11384.11,0.00491211,5932.707,0.00540625,0.000558386863351343
5557.2469177862895,11412.3,0.004927734,5839.777,0.005396485,0.0005480308400073608
5301.047487412728,11343.09,0.004884766,6045.503,0.005375,0.0004984662069996882
5368.317635675064,11403.97,0.004910157,6058.961,0.005419922,0.0005906244672455428
5486.530445874588,11413.59,0.00491211,5927.58,0.005402344,0.0005344106420770259
5425.757565380506,11345.01,0.00491211,5923.734,0.005386719,0.0005504141185390737
6018.875871254451,11507.16,0.004882812,5505.875,0.005361328,0.0006366972726793412
5256.728028134905,11382.18,0.004712891,6114.719,0.005222656,0.001747523119477567
5424.093261774561,11357.19,0.004800782,5929.502,0.00534375,0.0007100805288414043
5162.7435805167925,11341.17,0.004916016,6171.117,0.005402344,0.000609409624649062
5602.62422816713,11471.27,0.004884766,5850.032,0.005410157,0.000542773001702135
5575.22321301165,11453.96,0.004765625,5878.231,0.005287109,0.0006673780260034467
5836.415444289893,11501.39,0.004927734,5678.915,0.005433594,0.0005836488460341497
5366.670172835229,11373.85,0.004712891,6017.945,0.005228516,0.0017323778982896356
5136.06579996971,11330.27,0.004732422,6195.471,0.005294922,0.0004939712678849709
5610.389668893369,11408.46,0.004929688,5689.81,0.005429688,0.0005359204629278068
5235.468825193514,11428.97,0.004902344,6128.818,0.005396485,0.0005736365640450705
6062.815305311426,11536.64,0.00494336,5417.432,0.005501953,0.0005051153436141565
5225.378732984817,11322.58,0.004714844,6033.326,0.005191407,0.0016936832111788629
6053.769620998956,11536.64,0.004896485,5482.803,0.005421875,0.00055186949942837
5451.839276424666,11421.92,0.004748047,5937.834,0.005283203,0.0006879236506828205
5731.079250605589,11480.24,0.004923828,5748.131,0.005390625,0.00063000632995651
6261.410800718955,11616.75,0.004960938,5379.62,0.005517578,0.00044558235516859454
4924.067681284708,11281.56,0.004699219,6312.754,0.005160157,0.0018386688221199649
